Course Name,Difficulty Level,Course Rating,Course URL,category,skills_clean
Retrieve Data using Single-Table SQL Queries,Beginner,4.6,https://www.coursera.org/learn/single-table-sql-queries,Data Science & ML,data analysis select (sql) database management systems online shopping table (database) data retrieval databases web page numbers (spreadsheet) sql information-technology data-management
Hacking and Patching,Advanced,3.4,https://www.coursera.org/learn/hacking-patching,Data Science & ML,security design design pattern web application internet security sql select (sql) metasploit project penetration test security password cracking computer-science computer-security-and-networks
Business Statistics and Analysis Capstone,Beginner,4.7,https://www.coursera.org/learn/business-statistics-analysis-capstone,Data Science & ML,statistical analysis microsoft excel business analytics regression analysis general statistics data analysis regression analytics analysis business analysis data-science data-analysis
Python Programming Essentials,Beginner,4.8,https://www.coursera.org/learn/python-programming,Data Science & ML,semantics python programming coding conventions codeskulptor problem solving syntax computer programming programming style python syntax and semantics euler's totient function computer-science software-development
Creating Dashboards and Storytelling with Tableau,Advanced,4.6,https://www.coursera.org/learn/dataviz-dashboards,Data Science & ML,neuroscience data visualization storytelling tableau software business analytics checklists software method of analytic tableaux javascript syntax audience data-science data-analysis
Recommendation Systems with TensorFlow on GCP,Advanced,4.2,https://www.coursera.org/learn/recommendation-models-gcp,Data Science & ML,systems architecture cloud computing google cloud platform tensorflow deep learning cloud platforms machine learning matrices artificial neural networks recommender systems data-science machine-learning
Preparing for the Google Cloud Professional Data Engineer Exam,Beginner,4.5,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,Cloud & DevOps,business requirements cloud computing google cloud platform information engineering cloud platforms google cloud dataproc dataflow databases bigquery machine learning information-technology cloud-computing
Cryptography and Hashing Overview,Intermediate,4.7,https://www.coursera.org/learn/crypto-hashing,Cybersecurity,average cryptography encryption hash function public-key cryptography string (computer science) verification and validation hashing password blockchain computer-science algorithms
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Beginner,3.7,https://www.coursera.org/learn/ocr-text-detection-tensorflow-opencv-tesseract,Data Science & ML,image processing openbsd optical character recognition digital image processing python programming tensorflow region of interest object detection opencv machine learning data-science machine-learning
Introduction to Cybersecurity Tools & Cyber Attacks,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,Cybersecurity,cyber-security regulation cyber security standards forensics security digital forensics cybercrime cryptography cyberattacks leadership and management penetration test information-technology cloud-computing
Foundations of Objective-C App Development,Beginner,4.7,https://www.coursera.org/learn/objective-c,Mobile Development,ios development printf format string xcode c programming computer programming euler's totient function swift programming c++ ordered pair computer-science mobile-and-web-development
Programming Mobile Applications for Android Handheld Systems: Part 2,Advanced,4.7,https://www.coursera.org/learn/android-programming-2,Mobile Development,notification area interaction technique android development software engineering mobile app shell (computing) widget (gui) php graphical user interface elements databases computer-science mobile-and-web-development
Python Tricks and Hacks for Productivity,Advanced,4.1,https://www.coursera.org/learn/python-hacks,Data Science & ML,computer programming transpose concision python programming software engineering grasp project operations management progress bar dict computer-science software-development
Predictive Modeling and Analytics,Advanced,3.0,https://www.coursera.org/learn/predictive-modeling-analytics,Data Science & ML,logistic regression analytics predictive analytics regression data analysis regression analysis supply chain analysis linear regression predictive modelling data-science data-analysis
Mastering SQL Joins,Advanced,4.0,https://www.coursera.org/learn/mastering-sql-joins,Data Science & ML,aggregate function project employment sorting more than two modulo operation data analysis euler's totient function project mine ascendency data-science data-analysis
Create a Database with the Modeling Tool in MySQL Workbench,Intermediate,4.7,https://www.coursera.org/learn/create-database-with-modeling-tool-mysql-workbench,Cloud & DevOps,databases java annotation integrated development environments mysql database management systems user interface mysql workbench table (database) relational database database design information-technology data-management
Build Random Forests in R with Azure ML Studio,Beginner,4.7,https://www.coursera.org/learn/azure-machine-learning-studio-random-forests,Data Science & ML,forest writing random forest evaluation machine learning python programming r programming randomness experiment feature engineering data-science machine-learning
Create Relational Database Tables Using SQLiteStudio,Beginner,4.7,https://www.coursera.org/learn/create-relational-database-table-sqlitestudio,Data Science & ML,database management systems databases web browsers blockchain relational database sqlite web average sql table (database) information-technology data-management
Building Resilient Streaming Analytics Systems on GCP,Advanced,4.6,https://www.coursera.org/learn/streaming-analytics-systems-gcp,Cloud & DevOps,cloud computing bigquery bigtable dataflow query optimization stream processing google cloud platform streams mathematical optimization publish subscribe pattern information-technology cloud-computing
Build a Table Layout App in Android Studio,Beginner,4.5,https://www.coursera.org/learn/build-table-layout-app-android-studio,Mobile Development,android studio upload matching java (software platform) java programming android development drop-down list software engineering text box computer programming computer-science mobile-and-web-development
Networking and Security in iOS Applications,Advanced,4.6,https://www.coursera.org/learn/security,Mobile Development,oauth javascript syntax ios development authentication hypertext transfer protocol uniform resource locator web service single sign-on web push technology computer-science computer-security-and-networks
Exception Handling in Python,Beginner,4.7,https://www.coursera.org/learn/exception-handling-in-python,Data Science & ML,python programming exception handling relative change and difference approximation error ordered pair compiler type i and type ii errors computer programming project syntax computer-science software-development
Managing Big Data with MySQL,Beginner,4.6,https://www.coursera.org/learn/analytics-mysql,Data Science & ML,sql leadership and management analysis relational database databases select (sql) big data language data analysis mysql data-science data-analysis
Mathematics for Machine Learning: Linear Algebra,Beginner,4.5,https://www.coursera.org/learn/linear-algebra-machine-learning,Data Science & ML,algebra eigenvalues and eigenvectors matrices linearity python programming linear algebra pagerank vector projection transformation matrix data-science machine-learning
Security and Privacy for Big Data - Part 1,Beginner,4.7,https://www.coursera.org/learn/security-privacy-big-data,Data Science & ML,privacy data governance sql big data security cryptography data security information privacy access control measurement information-technology security
Qualitative Research Methods,Advanced,4.5,https://www.coursera.org/learn/qualitative-methods,Data Science & ML,interview analysis writing qualitative analysis data analysis qualitative research research methods stata observation quantitative research social-sciences governance-and-society
Device-based Models with TensorFlow Lite,Beginner,4.6,https://www.coursera.org/learn/device-based-models-tensorflow,Data Science & ML,deep learning raspberry pi android development tensorflow object detection mathematical optimization ios development demos mobile operating systems microcontroller computer-science software-development
